question,sentence,label
How are the veins of the lower extremity?,FINDINGS:  Grayscale ultrasound of the left greater saphenous and left lesser  saphenous veins demonstrated patency of these veins.,entailment
Was the dobhoff tube placed correctly?,This  information was communicated with the treating team.,not_entailment
Do we see any trauma causing air in the periplueral space?,IMPRESSION:  No evidence of traumatic injury to the chest.,entailment
Are there any signs of intraabdominal abscess?,[**Name10 (NameIs) **] focal liver lesions are  identified.,entailment
Does the lung appear clear of interstitial fluids?,FINAL REPORT  AP portable radiograph of the chest dated [**2155-10-16**].,not_entailment
Do we see any new infiltrates on the chest x ray?,No new or progressive abnormalities are  identified to suggest a secondary site of infection.,entailment
Is there evidence of CHF?,IMPRESSION:   No radiographic evidence of acute cardiopulmonary process including CHF.,entailment
Are there any signs of intraabdominal abscess?,Evaluate for abscess.,not_entailment
Where is ETT placed?,"FINDINGS:  In comparison with study of [**3-8**], the endotracheal tube now lies  approximately 2.4 cm above the carina.",entailment
Is the left internal jugular cathether tip in the superior vena cava?,The left IJ central venous catheter has been advanced and the tip  is in the superior vena cava.,entailment
How is the great saphenous vein on the right side?,Ankle  brachial index on the left was 0.3.,not_entailment
Are the carotid blood vessels bloecked?,The ICA to CCA ratio on the right is 1.0 and on the left 1.7.,entailment
Is there evidence of pneumothorax?,There is cardiomegaly.,not_entailment
Is there any mediastinal shift due to pneumothorax?,No  pneumothorax.,entailment
Is there any evidence of bleeding?,"If there is a high clinical suspicion of neurological injury, an MRI is a more  sensitive study.",not_entailment
What does the lung picture look like?,Possible mild CHF but no overt  pulmonary edema and no evidence for pneumonia.,entailment
Is there any air between the plueral tissues?,No pneumothorax.,entailment
Are there any clots in the lung vasculature?,There is mild fatty infiltration of the liver.,not_entailment
How are the veins of the lower extremity?,"The remainder of the right cephalic vein was  patent and demonstrated diameters of 0.41, 0.2, 0.27, 0.21, and 0.2.",not_entailment
is there evidence of fracture?,Evaluate for fracture.,not_entailment
Are there any clots in the deep veins of the left upper extremity ?,No intraluminal thrombus is identified.,entailment
Is there evidence of any new infiltrate in the lungs?,The tip of a left IJ is in the left brachiocephalic vein.,not_entailment
Is there any abnormal fluid filled mass in the abdomen?,There is no evidence of appendicitis or  free intraperitoneal air.,not_entailment
Did the lead dislodge from the desired position?,FINDINGS:  Dual lead pacemaker is unchanged in position.,entailment
Is there signs of RUL opacity?,IMPRESSION:  Persistent right upper lobe opacity.,entailment
Is there evidence of PE?,CONCLUSION:  1) No evidence of pulmonary embolism.,entailment
Did you find evidence of CHF?,FINDINGS: There has been interval removal of the pulmonary artery catheter.,not_entailment
Do we see any trauma to the pluera due to Central venous line?,"FINAL REPORT  CHEST RADIOGRAPH:   INDICATION:  New central venous access line, trauma, evaluation for  pneumothorax.",not_entailment
Is there any evidence of enlarged colon?,There are apparent areas of mild bowel wall  thickening involving the transverse colon and hepatic flexure.,not_entailment
Is there evidence of CHF?,No  pneumothorax is present.,not_entailment
Is there any difference in the infiltrates?,IMPRESSION: Imporved pulmonary edema with remaining interstitial pattern due  to elevated pulmonary venous pressure.,entailment
What is the location of leads on chest x ray?,A permanent pacemaker is present with leads terminating in the right ventricle  and right atrium.,entailment
Was the PICC placed in the left arm?,"Based on the markers on the guidewire, the PICC was  trimmed to a length of 42 cm.",not_entailment
Was there evidence of CHF?,CONCLUSION:  1) No evidence of pulmonary embolism.,not_entailment
Was the ETT tube placed correctly?,NG tube is coiled in the fundus with distal tip directed cephalad.,not_entailment
Is there any medistinal shift and/or pneumothorax?,No pneumothorax.,entailment
Is there any cardiomegaly?,IMPRESSION:   No radiographic evidence of acute cardiopulmonary process including CHF.,entailment
What does the lung picture look like?,There are low lung volumes.,entailment
Is there any fistulous tract in the gall bladder area?,IMPRESSION:  No evidence of leak or fistula tract.,entailment
Is there any abnormality in the brain parenchyma?,There is no mass effect or  shift of the normally midline structures.,not_entailment
Do we see any plaque in the carotid blood vessels?,Flow in the vertebral arteries is prograde on both sides.,not_entailment
Where is the tip of nasogastric tube?,Nasogastric tube is coursing down below the left  hemidiaphragm.,entailment
is there evidence of fracture?,IMPRESSION:   Healing fracture of the distal aspect of the fourth middle phalanx.,entailment
How is the great saphenous vein on the right side?,The distal portion of the right  greater saphenous vein was questionably visualized and showed diameters of  0.05 and 0.09 cm.,not_entailment
Do we see any obliteration of costo-phrenic angle?,Small  bilateral pleural effusions are present.,entailment
Does the chest x ray show any abnormal findings?,Left lower lobe opacities could be due to  atelectasis but superimposed infection cannot be totally excluded.,entailment
Is there any infection or bleeding in the bile duct?,The cardiac silhouette is within normal limits and there  is mild tortuosity of the aorta.,not_entailment
Is there any difference in the infiltrates?,There is improvement in the  consolidation that was seen on the prior film with a interstitial pattern seen  on the current one.,not_entailment
Are the kidneys appearing normal on abdominal radiograph?,No previous abdominal films on PACS record.,not_entailment
Are there any clots in the lung vasculature?,There are small  bilateral pleural effusions.,not_entailment
Was the vein mapping completed?,Patent left cephalic vein.,not_entailment
Is the Vagal nerve stimulator intact on the left side of chest?,INDICATION:  History of implanted vagal nerve stimulator implantation.,not_entailment
Do any of the lobes appear to have inflammed alveoli or interstitial spaces?,"The cardiac silhouette  appears enlarged, but stable.",not_entailment
Are there signs of pneumothorax?,There is no pleural effusion or  pneumothorax.,entailment
Do we see any trauma causing air in the periplueral space?,The cardiomediastinal silhouette is in stable  configuration.,not_entailment
Did the amount of interstitial fluid go down?,This corresponds to improved pulmonary edema.,entailment
Is the chest pain related to vagal nerve simulator?,A surgical clip is noted in the vicinity of the rib fracture  raising the suspicion that this injury was related to a previous surgical  intervention.,not_entailment
Was the NGT placed correctly?,IMPRESSION: NG tube in good position.,entailment
Where is the chest pain located?,The  patient has left-sided chest pain.,entailment
Is the Et tube patent?,The cardiomediastinal silhouette is unremarkable.,not_entailment
Is the ETT properly placed?,"FINDINGS:  In comparison with study of [**3-8**], the endotracheal tube now lies  approximately 2.4 cm above the carina.",entailment
How are the sinuses on CT scan?,TECHNIQUE:  MDCT axially acquired images were obtained of the sinuses without  contrast administration.,not_entailment
Are there any pathologies within the brain?,These are suspicious for hemorrhagic metastases given the patient's history.,not_entailment
Is there evidence of stenotic disease?,There is no splenomegaly.,not_entailment
Is there an obstruction in the chest?,Pneumonia in the left base cannot be excluded.,not_entailment
What is the progression of DOE?,There is calcification of the thoracic aorta.,not_entailment
Was the ETT placed correctly?,"An ETT is in place, and terminates near the carina.",entailment
Was the vein mapping completed?,The right basilic vein was visualized in its proximal extent at the level of  the antecubital fossa.,not_entailment
Is there any active bleeding site in the GI tract?,INTERPRETATION:  Following the labeling of technetium red cells a GI bleed study  was performed over 100 minute time frame.,not_entailment
Was the ETT tube placed correctly?,ET tube terminates within 2 cm of carina with the neck in flexed position.,entailment
Is pneumothorax present?,There is no pneumothorax.,entailment
Was the ETT placed correctly?,INDICATION: ETT placement.,not_entailment
Is there any evidence of fracture?,IMPRESSION:  Non displaced intra-articular linear fracture of the distal left  fourth middle phalanx.,entailment
Is there sign of septal hematoma?,"An acute fracture of  the lamina papyracea is suspected on the right (2:42, 40lB:30) however, no  significant extraconal hematoma is detected.",not_entailment
Are there any signs of infiltrate?,IMPRESSION:  No acute cardiopulmonary abnormality.,entailment
How is the position of oro-gastric tube?,"A NG tube is coiled within the fundus of the stomach and a left  PICC line and left subclavian vascular catheter remain in place, unchanged in  position.",entailment
Is there bleeding in GI?,At no time is there any evidence of  acute gastrointestinal bleeding.,entailment
Did the thoracocentesis cause any pneumothorax on the left side?,The left  costophrenic angle is not included in this study.,not_entailment
what are the lobes with high density of infiltrates?,IMPRESSION:  Questionable rounded opacity in the right upper lung.,entailment
Is there evidence of acute cardipulmonary process?,There is no evident pneumothorax.,not_entailment
Are there signs of retroperitoneal bleed?,Osseous structures are unremarkable.,not_entailment
Where is the chest pain located?,The heart is not significantly enlarged and there is no  evidence of CHF.,not_entailment
How well are the kidneys perfused?,RENAL ULTRASOUND:   The right kidney measures 10.3 cm.,not_entailment
Do we see any trauma to the pluera due to Central venous line?,No evidence of pneumothorax or other complications.,entailment
Is there any skeletal fracture?,FINDINGS:  Heart size is normal and there is no pulmonary vascular congestion.,not_entailment
Are there any abnormalities on left chest wall?,Thin wire electrodes  are noted in the anterior chest wall and lead to electrode termination points  in the left-sided paravertebral space at level Th1 and Th2.,not_entailment
Is the ETT placed correctly?,The cardiomediastinal silhouette is unremarkable.,not_entailment
Is fluid collection present?,"Scar tissue and tiny amount of fluid within the gallbladder fossa, but no  organized collection identified.",not_entailment
How is the endotracheal tube placement?,"2) Nasogatric tube tip advanced, and at least within the duodenum.",not_entailment
Is there any evidence of traumatic pneumothorax post thoracentesis?,There is cardiomegaly.,not_entailment
Was there any evidence of effusion?,Minimal right pleural  effusion.,not_entailment
Can we exclude any lung infiltrates ?,"Allowing for limited low lung volume  technique, there are no effusions or infiltrates.",entailment
Is there evidence of PE?,There is a small bulla at the left apex.,not_entailment
Do we see any new infiltrates on the chest x ray?,No new or progressive areas of  opacification are seen.,entailment
Does the ultrasound show any fluid collection around the gallbladder?,Evaluate for fluid collection.,not_entailment
Is the Et tube patent?,ET tube tip at orifice of right mainstem bronchus.,not_entailment
Is the intracranial tissue compromised with bleeding?,The [**Doctor Last Name 181**]/white matter differentiation  is preserved.,not_entailment
Is there evidence of pneumonia?,"No pulmonary,  vascular congestion or new parenchymal infiltrates can be identified.",entailment
Was the ogt placed correctly?,NG tube is coiled in the fundus with distal tip directed cephalad.,entailment
What is the Endotracheal tube position?,The cardiac silhouette is upper limits of  normal.,not_entailment
Are there any interval changes noted on the chest X ray? ,"The endotracheal tube, left sided central venous line, and nasogastric tube  are unchanged in position from one day prior.",entailment
Do we see any blood clots in the veins of right and left upper extremities?,Partial thrombosis of the left cephalic vein in the region of the  antecubital fossa.,entailment
Does the retroperitoneum appear normal after EP study?,There is  no evidence of retroperitoneal hematoma.,entailment
Is the Vagal nerve stimulator intact on the left side of chest?,The heart is not significantly enlarged and there is no  evidence of CHF.,not_entailment
Are there any clots in the lung vasculature?,"There is dependent material in the distal trachea, likely  mucus.",not_entailment
Is the lead placed correctly?,No pneumothorax is identified.,not_entailment
Do we see any fractures in the distal phalanges?,FINDINGS:  There is a healing fracture of the fourth middle phalanx.,entailment
Are there any infiltrates seen in the lungs ?,"Continued interstitial  and alveolar infiltrates, consistent with PCP.",entailment
Did you find infiltrate within the lungs?,There is an  improving bilateral alveolar process.,entailment
Was the line placed correctly?,"AP FRONTAL CHEST:  There has been interval removal of the right internal  jugular central catheter and placement of a left internal jugular catheter,  which terminates in the mid SVC.",entailment
Is there sign of septal hematoma?,A small amount of hemorrhage  is detected layering in the right sphenoid sinus.,not_entailment
Do any of the lobes appear to have inflammed alveoli or interstitial spaces?,"As compared to the previous study, alveolar opacities adjacent to the  perihilar mass have resolved.",entailment
Is there any evidence of bleeding in the chest cavity?,In the region of  the subsegmental branch in the right lower lobe there is a suggestion of  filling defect that is of uncertain significance.,not_entailment
Are there any clots in the lung vasculature?,There is a small bulla at the left apex.,not_entailment
How are the veins in the upper extremities ?,The left cephalic vein demonstrated a filling defect in the region of the left  antecubital fossa which was consistent with a partial thrombosis.,not_entailment
What is the placement of ETT?,"The new ET  tube tip is in satisfactory position, 2 cm above the carina.",entailment
Was the vein mapping completed?,The exam was markedly limited by presence of IV lines in the left basilic vein  and right cephalic vein.,not_entailment
Is there any active bleeding site in the GI tract?,At no time is there any evidence of  acute gastrointestinal bleeding.,entailment
Was the dobhoff tube placed correctly?,The tip of the feeding tube is identified in the distal esophagus.,entailment
Is the Vagal nerve stimulator intact on the left side of chest?,The skeletal structures of the thorax  are unremarkable.,not_entailment
Do we see any blood clots in the portal veins?,"Within this limitation, the portal vein is noted to be patent;  however, waveforms were not well evaluated.",entailment
Is there any sign of fracture?,IMPRESSION:  No evidence of traumatic injury to the chest.,entailment
Is there evidence of bleeding in GI?,Incidental note is made of a splenule adjacent to the spleen.,not_entailment
Are there signs of retroperitoneal bleed?,CT OF PELVIS WITHOUT CONTRAST: There is no evidence of retroperitoneal  hematoma.,not_entailment
What is the size of hemorrhage ?,At the  superior margin of the parenchymal hemorrhage there is a rounded heterogeneous  focus which could represent a metastatic lesion.,not_entailment
Are there any interval changes in the lungs after extubation? ,"FINAL REPORT  INDICATION: PCP s/p extubation, evaluate for interval change.",not_entailment
Is the perc.cholecystomy tube intact?,A  dropped gallstone is seen overlying the right abdomen.,not_entailment
Is there any evidence of bleeding?,IMPRESSION:  No evidence of acute intracranial injury.,entailment
Is the lead properly placed?,FINDINGS:  Dual lead pacemaker is unchanged in position.,not_entailment
Does the ultrasound show any fluid collection around the gallbladder?,"Scar tissue and tiny amount of fluid within the gallbladder fossa, but no  organized collection identified.",entailment
Are there signs of cardiopulmonary process?,"Moderate left  pleural effusion is present obscuring the left lower lobe, although there is a  suggestion of a dense region of lower lobe consolidation or even mass.",entailment
Did you find infiltrate within the lungs?,"IMPRESSION:  Improving bilateral alveolar process, likely due to provided  history of pneumocystis pneumonia.",entailment
Is there signs of RUL opacity?,"Given the provided clinical history,  is suggestive of aspiration; followup is recommended.",not_entailment
Is there an obstruction in the chest?,The patient is status post CABG.,not_entailment
Is there evidence of pneumothorax?,Upper  zone vascular redistribution is again noted and blurring of the vasculature  centrally.,not_entailment
Does the retroperitoneum appear normal after EP study?,The liver is normal in appearance without focal lesion.,not_entailment
Is there any cardiomegaly?,Pulmonary  vasculature is normal.,not_entailment
Is the PICC line placed in left arm?,The line is ready for use.,not_entailment
Does the head CT show any bleeds ?,"FINDINGS:  There is no acute intracranial hemorrhage, shift of normally  midline structures, hydrocephalus, major or minor vascular territorial  infarction.",entailment
Does the head CT show any bleeds ?,No acute intracranial hemorrhage.,entailment
Is interval change present in pneumocystis pneumonia?,FINAL REPORT  INDICATION: Pneumocystis pneumonia with poor oxygenation.,not_entailment
Are there any pathologies within the brain?,Additional ring-enhancing lesions throughout the supra- and infratentorial  compartments are visualized.,not_entailment
Was the line placed correctly?,The patient has received a right central venous  access line.,not_entailment
Are there any clots in the deep veins of the left upper extremity ?,"LEFT UPPER EXTREMITY ULTRASOUND:  [**Doctor Last Name **] scale and Doppler son[**Name (NI) 76**] of the left  internal jugular, subclavian, axillary, basilic, cephalic, and brachial veins  were performed.",not_entailment
How is the flow of bile through the biliary tree?,There  is no evidence of intra- or extrahepatic biliary dilatation with the common  bile duct measuring 6 mm in size.,entailment
What is the Endotracheal tube position?,The endotracheal tube cuff is slightly over inflated.,not_entailment
Did you find evidence of pneumothorax?,IMPRESSION:  No evidence of pneumothorax.,entailment
Are there any interstitial infiltrates?,The lungs are  otherwise clear.,entailment
Is there evidence of chf?,The patient is  status post CABG and there is left ventricular prominence.,entailment
Are there any signs of intraabdominal obstruction?,There is no evidence of appendicitis or  free intraperitoneal air.,not_entailment
Was there evidence of pneumonia?,There is mild fatty infiltration of the liver.,not_entailment
Was there any evidence of plaque?,The ICA to CCA ratio on the right is 1.0 and on the left 1.7.,entailment
Are there any pulmonary infiltrates?,Coronary artery  calcifications are noted.,not_entailment
How are the sinuses on CT scan?,Hemorrhagic products within the nasal cavity and right maxillary sinus  secondary to trauma.,entailment
Is the position of ET tube as expected?,The cardiomediastinal silhouette is unremarkable.,not_entailment
Did the plueral effusion go down after thoracocentesis?,They seem increased in  comparison to the prior study.,entailment
Do we see any blocks in the coronary arteries?,IMPRESSION:  Normal study.,entailment
Is there evidence of pneumothorax?,No  pneumothorax.,entailment
Is there evidence of chf?,Left ventricular prominence without evidence of heart failure.,entailment
Was there evidence of pleural effusion?,Small  bilateral pleural effusions are present.,entailment
Are there any more infiltrates ?,The  overall appearances are unchanged since the prior examination.,entailment
Does the x ray show any left distal phalanges fracture?,IMPRESSION:  Non displaced intra-articular linear fracture of the distal left  fourth middle phalanx.,entailment
Was there evidence of CHF?,2) Findings consistent with pulmonary edema.,entailment
Is there any heart enlargement ?,Heart is top normal size.,entailment
Is the Vagal nerve stimulator intact on the left side of chest?,A suspected density on the right base on the previous  examination of [**12-15**] has disappeared on today's examination.,not_entailment
Is there sign of septal hematoma?,Probable  fracture of the right lamina papyracea without significant extraconal  hematoma.,not_entailment
Is there any infection or bleeding in the bile duct?,"Mild atelectatic changes are seen at the  left base, though there is no evidence of acute pneumonia, vascular  congestion, or pleural effusion.",not_entailment
Is there evidence of hepatoma?,There is a complex collection containing several  stones seen in the gallbladder fossa.,not_entailment
Is there any cardiomegaly?,Cardiac and  mediastinal contours appear normal.,entailment
Was the PICC line placement procedure easy?,The line is ready for use.,not_entailment
Was the line placed correctly?,IMPRESSION:  Left internal jugular catheter terminates in the mid SVC.,entailment
Are there any new abnormalities in respiratory function?,There are persistent increased interstitial  markings bilaterally with linear and discoid atelectasis in both lower zones.,not_entailment
Is the chest pain related to vagal nerve simulator?,The heart size is within normal limits.,not_entailment
Is there any evidence of pneumonia?,The latter is most prominent in the  central portions of the lungs.,not_entailment
Is the PICC line placed in left arm?,IMPRESSION:  Successful placement of a 42 cm long PICC via the left brachial  vein with the tip terminating in the lower SVC.,entailment
Was the ETT Tube placed in the correct position?,The right internal  jugular central venous catheter remains in good position in the mid superior  vena cava.,not_entailment
Was the PICC placed in the left arm?,A final limited chest  radiograph confirmed placement of the tip of the catheter to be in the distal  SVC.,not_entailment
How has the lung picture changed from the previous x ray?,Changes are slightly more marked on the left side than the right.,not_entailment
Are there any signs of inflammation in the lungs?,FINDINGS:   AP single view of the chest with patient in sitting position has been  obtained.,not_entailment
Is there any fistulous tract in the gall bladder area?,A  dropped gallstone is seen overlying the right abdomen.,not_entailment
What do the kidneys look like?,The left kidney measures 9.5 cm.,not_entailment
Are there any signs of intraabdominal abscess?,There is no evidence of appendicitis or  free intraperitoneal air.,not_entailment
Is there evidence of bleeding in GI?,In the region of  the subsegmental branch in the right lower lobe there is a suggestion of  filling defect that is of uncertain significance.,not_entailment
Are the alveoli filled with anything other than air?,"PA AND LATERAL VIEWS OF THE CHEST:  Lung volumes are low, but clear without  consolidation, pleural effusion, or pneumothorax.",entailment
Where is the tip of nasogastric tube?,"Note is made of rounded opacity overlying  the left hilum, which probably representing aspiration pneumonia; however,  left hilar mass cannot be totally excluded.",not_entailment
Is the lung parenchyma clear?,The cardiomediastinal silhouette is unchanged.,not_entailment
Is there bleeding seen within the head?,No acute intracranial hemorrhage or mass effect.,entailment
Are there any focal or diffuse atherosclerotic plagues in the superior mesenteric artery?,FINDINGS:  The liver is normal in size and echogenicity without focal lesions.,not_entailment
Was the vein mapping completed?,Patent left greater saphenous and lesser saphenous veins.,entailment
Was the PICC placed in the left arm?,The area was prepped and draped  in the usual sterile fashion.,not_entailment
Does the lung show any diffuse opacities?,"No pulmonary,  vascular congestion or new parenchymal infiltrates can be identified.",entailment
Is there any interval change in the pneumocycstis pneumonia?,The cardiomediastinal silhouette is unchanged.,not_entailment
Was the ETT tube placed correctly?,An ET tube terminates within 2 cm of the carina with the neck in a flexed  position.,entailment
Is the Et tube patent?,There is  no pneumothorax.,not_entailment
Is the NGT placed correctly?,FINDINGS:   The patient is status post median sternotomy.,not_entailment
Is the chest pain related to vagal nerve simulator?,"IMPRESSION:  Presence of vagal nerve stimulator, old healed rib fractures on  the left side but no other chest wall abnormalities in patient with chest wall  pain.",not_entailment
Is there evidence of new infiltrate?,IMPRESSION:  Questionable rounded opacity in the right upper lung.,entailment
How are the lungs post extubation?,Osseous structures are unchanged.,not_entailment
Is there any worsening in GI bleeding?,"FINAL REPORT  INDICATION:  Upper GI bleeding, intubated for airway protection.",not_entailment
How well are the kidneys perfused?,IMPRESSION:   1)  No evidence of hydronephrosis.,entailment
Is there any fluid in the lungs?,The cardiac and  mediastinal contours are unchanged in the interval.,not_entailment
Is the right IJ line positioned correctly?,An orogastric tube is noted with its tip  well positioned in the mid stomach.,not_entailment
Is the right IJ line positioned correctly?,A new  right IJ central line has been inserted and its tip is well positioned in the  mid SVC.,entailment
Have wheezing and crackles worsened?,FINAL REPORT  CHEST SINGLE FILM   HISTORY:  Diabetes with pacemaker placement GI bleed wheezing and crackles.,not_entailment
what is the location of vagal nerve stimulator cable?,"CERVICAL SPINE, TWO VIEWS:   An electronic lead device is present, with four separate metallic electrodes  overlying the left transverse process of the T1 and T2 vertebral bodies, seen  on the lateral views as projecting over the soft tissues anterior to C7 and  T1.",entailment
Did the heart show any changes in its size?,The Swan-Ganz catheter has been withdrawn and its tip now lies in the distal  right pulmonary artery.,not_entailment
Do we see any blood clots in the veins of right and left upper extremities?,The distal portion of the right basilic vein at the  antecubital fossa was not visualized.,not_entailment
Are there any bony defects on the spine?,IMPRESSION:  No acute fracture or traumatic malalignment detected.,entailment
Is there any fistulous tract in the gall bladder area?,"Following  injection of 50 mL of Optiray, there is no evidence of leak or a fistula  between the gallbladder and a hollow viscus.",entailment
How is the great saphenous vein on the right side?,Proximal 2.6 cm of the right greater saphenous vein were patent and  demonstrated diameters of 0.31 and 0.22.,not_entailment
Was the PICC line placement procedure easy?,The line is ready  for use.,not_entailment
Where is the chest pain located?,The heart size is within normal limits.,not_entailment
Does the endotracheal tube end above the carina?,"IMPRESSION: Low positioned ETT, which should be repositioned for optimal  placement.",entailment
what are the lobes with high density of infiltrates?,"A vague opacity in the right apex is demonstrated projecting  at the level of the anterior end of the second rib and may represent either  summation of shadows or new opacity, given the absence of this finding on the  previous radiograph.",entailment
Does the pulmonary interstitial space look normal?,IMPRESSION:  No acute cardiopulmonary abnormality.,entailment
Was the PICC placed in the left arm?,"As no suitable superficial veins were identified, ultrasound  examination of the left upper extremity was performed, revealing the left  brachial vein to be patent and compressible.",entailment
Was the vein mapping completed?,"The remainder of the right cephalic vein was  patent and demonstrated diameters of 0.41, 0.2, 0.27, 0.21, and 0.2.",not_entailment
Is there evidence of pneumothorax?,Shortness of breath.,not_entailment
Is there any abnormal fluid filled mass in the abdomen?,There is a small amount of free fluid in the pelvis.,not_entailment
Does the biliary tree appear to have dilated ducts?,There  is no evidence of intra- or extrahepatic biliary dilatation with the common  bile duct measuring 6 mm in size.,entailment
Is there any evidence of bleeding in the chest cavity?,BONE WINDOWS: There is subchondral cysts of the right scapula.,not_entailment
How are the veins of the lower extremity?,"The diameters of the lesser saphenous vein were 0.15,  0.16, 0.16, 0.16, 0.12.",not_entailment
Is there any sign of dyspnea?,FINAL REPORT  INDICATION: Dyspnea.,not_entailment
Is there any fistulous tract in the gall bladder area?,The percutaneous cholecystostomy catheter ends in the gallbladder fundus.,not_entailment
Are there any signs of intraabdominal obstruction?,There is a small amount of free fluid in the pelvis.,not_entailment
Are there any signs of intraabdominal obstruction?,There is no evidence of abscess.,not_entailment
Is there obsturction of flow to the kidneys?,Limited evaluation of the renal parenchyma and renal hila.,not_entailment
Is there anything on chest x ray which can explain the shortness of breath?,INDICATION:  History of shortness of breath.,not_entailment
Is there any mediastinal shift due to pneumothorax?,There is also probably a small right  pleural effusion.,not_entailment
Is there any fluid between interstitial spaces in the lung?,There is calcification of the thoracic aorta.,not_entailment
How is the heart size ?,Patient is  status post CABG.,not_entailment
What is the progression of DOE?,FINDINGS: Two views of the chest.,not_entailment
Is the lung parenchyma clear?,"IMPRESSION: Bilateral diffuse alveolar opacities, consistent with pneumocystis  pneumonia.",entailment
What does the lung parenchyma look like?,CONCLUSION:  1) No evidence of pulmonary embolism.,entailment
Was the PICC line placement procedure easy?,The line was then secured with a Statlock  device and a sterile transparent dressing applied.,not_entailment
Is there evidence of effusion?,"Allowing for limited low lung volume  technique, there are no effusions or infiltrates.",entailment
Is the chest pain related to vagal nerve simulator?,The  patient has left-sided chest pain.,not_entailment
Is there bleeding in GI?,No evidence of acute bleed.,entailment
Is there evidence of stenotic disease?,There is no spectral broadening.,not_entailment
Was the central line placed correctly?,FINDINGS:  A right-sided internal jugular vein catheter is seen with the tip  near the cavoatrial junction.,entailment
Is there evidence of bleeding in GI?,There is no  evidence of a pericardial effusion and additionally there is no evidence of a  thoracic or abdominal aorta.,not_entailment
Was there any sign of pleural effusions?,FINAL REPORT  PA AND LATERAL CHEST [**6-19**]   HISTORY:  Pleural effusions.,not_entailment
Was the ETT Tube placed in the correct position?,The endotracheal tube cuff is slightly over inflated.,not_entailment
Is the chest pain related to vagal nerve simulator?,INDICATION:  History of implanted vagal nerve stimulator implantation.,not_entailment
Is there any mass/tissue having a pressure effect on the neural tissue?,FINDINGS:  There is no intracranial hemorrhage.,not_entailment
Was the ETT Tube placed in the correct position?,Balloon of the endotracheal tube is slightly expanded beyond  the diameters of the trachea.,not_entailment
Is there evidence of any new infiltrate in the lungs?,There are diffuse  bilateral opacities which have improved compared to the prior study.,entailment
is there evidence of fracture?,No additional fracture or dislocation is noted.,not_entailment
How well are the kidneys perfused?,No  evidence of hydronephrosis.,entailment
How is the great saphenous vein on the right side?,"Moderate bilateral aorto-iliac arterial insufficiency, with probable  associated outflow disease on the right and severe outflow disease on the  left.",not_entailment
Is there evidence of stenotic disease?,There is no biliary duct dilatation.,not_entailment
What is the alignment of cervical vertebrae?,TECHNIQUE:  MDCT axially acquired images were obtained of the cervical spine  without contrast administration.,not_entailment
Did you evaluate course of recurrent laryngeal nerve?,Assess the course of the recurrent  laryngeal nerve.,not_entailment
Was there evidence of pneumonia?,CT CHEST WITH IV CONTRAST:  There is no evidence of pulmonary embolism.,not_entailment
What is the location of leads on chest x ray?,The heart is upper limits of normal in size and the pulmonary  vascularity is within normal limits.,not_entailment
Do any of the lobes appear to have inflammed alveoli or interstitial spaces?,"IMPRESSION:   Marked improvement in left perihilar alveolar process with residual  well-marginated mass-like opacity, concerning for neoplasm.",entailment
Do we see any excess edema in the lungs?,The  pulmonary vascularity appears within normal limits without evidence of edema.,entailment
Is interval change present in pneumocystis pneumonia?,"IMPRESSION: Bilateral diffuse alveolar opacities, consistent with pneumocystis  pneumonia.",not_entailment
Is the ETT placed correctly?,AP SUPINE CHEST X-RAY:  An endotracheal tube with its tip at the orifice of  the right main stem bronchus is noted.,entailment
Are there still infiltrates present?,Followup of  infiltrates.,not_entailment
Are there any interstitial infiltrates on chest x ray?,There are small  bilateral effusions not significantly changed.,not_entailment
Does the lungs appear to have any interstitial infiltrates?,"Note is made of patchy  opacity in the right lower lobe, which can represent early pneumonia.",entailment
Is there any obstruction in superior mesenteric artery?,"The celiac and SMA are widely patent, Doppler  assessment shows normal spectral flow and velocities within normal limits.",entailment
Does the biliary tree appear to have dilated ducts?,FINDINGS: The liver is normal in appearance.,not_entailment
Is there signs of RUL opacity?,Given clinical history  is suggestive of aspiration.,not_entailment
Does the lungs show any signs of infection?,"COMPARISON:  [**0-0-0**] & [**0-0-0**]   TWO VIEWS OF THE CHEST:  Lung volumes are low, similar to that seen  previously.",not_entailment
Is there any evidence of bleeding in the chest cavity?,There is atelectasis primarily involving the  bases as well as scarring of the right middle lobe.,not_entailment
Do we see any blood clots in the veins of right and left upper extremities?,"The diameters of the right basilic vein were 0.35,  0.34, 0.31, 0.24.",not_entailment
Is there any increase in hematoma?,There is no  osseous abnormality.,not_entailment
Is there evidence of hepatoma?,No hydronephrosis is seen on limited views of the kidneys.,not_entailment
How are the sinuses on CT scan?,______________________________________________________________________________                                  FINAL REPORT  STUDY:  CT sinuses without contrast.,not_entailment
Are there any interval changes noted on the chest X ray? ,"2) Diffuse bilateral ground glass and alveolar opacities, consistent with  pneumocystis pneumonia, and unchanged.",entailment
Is there evidence of bleeding in GI?,FINDINGS:   CT OF THE CHEST WITH IV CONTRAST: There is good opacification of the thoracic  and abdominal aorta.,not_entailment
Is there any evidence of bleeding in the chest cavity?,There is no  evidence of a pericardial effusion and additionally there is no evidence of a  thoracic or abdominal aorta.,not_entailment
Does the pulmonary interstitial space look normal?,The cardiomediastinal  silhouette is normal.,not_entailment
Are there any clots in the deep veins of the left upper extremity ?,IMPRESSION:  No evidence of left upper extremity DVT.,entailment
